train_accuracy,test_accuracy,Precision_class1,Precision_class2,Recall_class1,Recall_class2,F1_class1,F1_class2,Precision_class1_train,Precision_class2_train,Recall_class1_train,Recall_class2_train,F1_class1_train,F1_class2_train
0.527777777777778,0.5,0.5,0,1,0,0.666666666666667,0,0.514619883040936,0.777777777777778,0.977777777777778,0.0777777777777778,0.674329501915709,0.141414141414141
0.5,0.4,0.444444444444444,0,0.8,0,0.571428571428571,0,0.5,0.5,0.922222222222222,0.0777777777777778,0.6484375,0.134615384615385
0.505555555555556,0.5,0.5,0.5,0.9,0.1,0.642857142857143,0.166666666666667,0.502890173410405,0.571428571428571,0.966666666666667,0.0444444444444444,0.661596958174905,0.0824742268041237
0.527777777777778,0.45,0.473684210526316,0,0.9,0,0.620689655172414,0,0.514450867052023,0.857142857142857,0.988888888888889,0.0666666666666667,0.67680608365019,0.123711340206186
0.516666666666667,0.45,0.473684210526316,0,0.9,0,0.620689655172414,0,0.508474576271186,1,1,0.0333333333333333,0.674157303370786,0.0645161290322581
0.577777777777778,0.35,0.285714285714286,0.384615384615385,0.2,0.5,0.235294117647059,0.434782608695652,0.597222222222222,0.564814814814815,0.477777777777778,0.677777777777778,0.530864197530864,0.616161616161616
0.522222222222222,0.5,0.5,0,1,0,0.666666666666667,0,0.511363636363636,1,1,0.0444444444444444,0.676691729323308,0.0851063829787234
0.533333333333333,0.45,0.470588235294118,0.333333333333333,0.8,0.1,0.592592592592593,0.153846153846154,0.517441860465116,0.875,0.988888888888889,0.0777777777777778,0.679389312977099,0.142857142857143
0.516666666666667,0.45,0.473684210526316,0,0.9,0,0.620689655172414,0,0.508571428571429,0.8,0.988888888888889,0.0444444444444444,0.671698113207547,0.0842105263157895
0.505555555555556,0.5,0.5,0,1,0,0.666666666666667,0,0.502824858757062,0.666666666666667,0.988888888888889,0.0222222222222222,0.666666666666667,0.043010752688172
